Модель;TDP;Цена;Ссылка
be quiet! SYSTEM POWER 9 600W;600;5799;
ZALMAN GigaMax (GVII) 750W;750;5999;
Cougar BXM 850W;850;8999;
Aerocool VX PLUS 350W;350;1299;
be quiet! SYSTEM POWER 9 500W;500;4299;
Cougar GX 1050W;1050;15000;
Aerocool VX PLUS 550W;550;2250;
Aerocool VX PLUS 650W;650;2899;
be quiet SYSTEM POWER 9 700W;700;6799;
